# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Corona,CA,33.8753,-117.5664,159503
Corpus Christi,TX,27.8006,-97.3964,316381
Corvallis,OR,44.5646,-123.262,55298
Costa Mesa,CA,33.6411,-117.9187,112174
Council Bluffs,IA,41.2619,-95.8608,61969
Covina,CA,34.09,-117.8903,48508
Covington,KY,39.0837,-84.5086,40956
Cranston,RI,41.7798,-71.4373,80566
Crystal Lake,IL,42.2411,-88.3162,40388
Culver City,CA,34.0211,-118.3965,39428
Cupertino,CA,37.323,-122.0322,60189
Cutler Bay,FL,25.5808,-80.3469,43328
Cuyahoga Falls,OH,41.1339,-81.4846,49267
Cypress,CA,33.817,-118.0373,49087
Dallas,TX,32.7767,-96.797,1257676
Daly City,CA,37.6879,-122.4702,104739
Danbury,CT,41.3948,-73.454,83684
Danville,CA,37.8216,-122.0,43341
Danville,VA,36.586,-79.395,42907
Davenport,IA,41.5236,-90.5776,102157
Davie,FL,26.0765,-80.2521,96830
Davis,CA,38.5449,-121.7405,66205
Dayton,OH,39.7589,-84.1916,143355
Daytona Beach,FL,29.2108,-81.0228,62316
DeKalb,IL,41.9295,-88.7504,43849
DeSoto,TX,32.5897,-96.8571,51483
Dearborn,MI,42.3223,-83.1763,95884
Dearborn Heights,MI,42.337,-83.2733,56620
Decatur,AL,34.6059,-86.9833,55816
Decatur,IL,39.8403,-88.9548,74710
Deerfield Beach,FL,26.3184,-80.0998,78041
Delano,CA,35.7688,-119.2471,52403
Delray Beach,FL,26.4615,-80.0728,64072
Deltona,FL,28.9005,-81.2637,86290
Denton,TX,33.2148,-97.1331,123099
Denver,CO,39.7392,-104.9903,649495
Des Moines,IA,41.6005,-93.6091,207510
Des Plaines,IL,42.0334,-87.8834,58918
Detroit,MI,42.3314,-83.0458,688701
Diamond Bar,CA,34.0286,-117.8103,56449
Doral,FL,25.8195,-80.3553,50213
Dothan,AL,31.2232,-85.3905,68001
Dover,DE,39.1582,-75.5244,37366
Downers Grove,IL,41.8089,-88.0112,49670
Downey,CA,33.9401,-118.1332,113242
Draper,UT,40.5247,-111.8638,45285
Dublin,CA,37.7022,-121.9358,52105
Dublin,OH,40.0992,-83.1141,43607
Dubuque,IA,42.5006,-90.6646,58253
Duluth,MN,46.7867,-92.1005,86128
Duncanville,TX,32.6518,-96.9083,39605
Dunwoody,GA,33.9462,-84.3346,47591
Durham,NC,35.994,-78.8986,245475
Eagan,MN,44.8041,-93.1669,65453
East Lansing,MI,42.737,-84.4839,48554
East Orange,NJ,40.7673,-74.2049,64544
East Providence,RI,41.8137,-71.3701,47149
Eastvale,CA,33.9525,-117.5848,55191
Eau Claire,WI,44.8113,-91.4985,67545
Eden Prairie,MN,44.8547,-93.4708,62603
Edina,MN,44.8897,-93.3499,49376
Edinburg,TX,26.3017,-98.1633,80836
Edmond,OK,35.6528,-97.4781,87004
Edmonds,WA,47.8107,-122.3774,40727
El Cajon,CA,32.7948,-116.9625,102211
El Centro,CA,32.792,-115.5631,43363
El Monte,CA,34.0686,-118.0276,115708
El Paso,TX,31.7776,-106.4425,674433
Elgin,IL,42.0354,-88.2826,110145
Elizabeth,NJ,40.664,-74.2107,127558
Elk Grove,CA,38.4088,-121.3716,161007
Elkhart,IN,41.682,-85.9767,51265
Elmhurst,IL,41.8995,-87.9403,45556
Elyria,OH,41.3684,-82.1076,53956
Encinitas,CA,33.037,-117.292,61588
Enid,OK,36.3956,-97.8784,50725
Erie,PA,42.1292,-80.0851,100671
Escondido,CA,33.1192,-117.0864,148738
Euclid,OH,41.5931,-81.5268,48139
Eugene,OR,44.0521,-123.0868,159190
Euless,TX,32.8371,-97.082,53224
Evanston,IL,42.0451,-87.6877,75570
Evansville,IN,37.9716,-87.5711,120310
Everett,MA,42.4084,-71.0537,42935
Everett,WA,47.979,-122.2021,105370
Fairfield,CA,38.2494,-122.04,109320
Fairfield,OH,39.3455,-84.5603,42635
Fall River,MA,41.7015,-71.155,88697
Fargo,ND,46.8772,-96.7898,113658
Farmington,NM,36.7281,-108.2187,45426
Farmington Hills,MI,42.499,-83.3677,81295
Fayetteville,AR,36.0626,-94.1574,78960
Fayetteville,NC,35.0527,-78.8784,204408
Federal Way,WA,47.3223,-122.3126,92734
Findlay,OH,41.0442,-83.6499,41512
Fishers,IN,39.9568,-86.0134,83891
Fitchburg,MA,42.5834,-71.8023,40383
Flagstaff,AZ,35.1983,-111.6513,68667
Flint,MI,43.0125,-83.6875,99763
Florence,AL,34.7998,-87.6773,40059
Florence,SC,34.1954,-79.7626,37792
Florissant,MO,38.7892,-90.3226,52363
Flower Mound,TX,33.0146,-97.097,68609
Folsom,CA,38.678,-121.1761,73098
Fond du Lac,WI,43.773,-88.4471,42970
Fontana,CA,34.0922,-117.435,203003
Fort Collins,CO,40.5853,-105.0844,152061
Fort Lauderdale,FL,26.1224,-80.1373,172389
Fort Myers,FL,26.6406,-81.8723,68190
Fort Pierce,FL,27.4467,-80.3256,43074
Fort Smith,AR,35.3859,-94.3985,87650
Fort Wayne,IN,41.0793,-85.1394,256496
Fort Worth,TX,32.7555,-97.3308,792727
Fountain Valley,CA,33.7092,-117.9537,56707
Franklin,TN,35.9251,-86.8689,68886
Frederick,MD,39.4143,-77.4105,66893
Freeport,NY,40.6576,-73.5832,43167
Fremont,CA,37.5483,-121.9886,224922
Fresno,CA,36.7468,-119.7726,509924
Friendswood,TX,29.5294,-95.201,37587
Frisco,TX,33.1507,-96.8236,136791
Fullerton,CA,33.8704,-117.9243,138981
Gainesville,FL,29.6516,-82.3248,127488
Gaithersburg,MD,39.1434,-77.2014,65690
Galveston,TX,29.3013,-94.7977,48733
Garden Grove,CA,33.7739,-117.9414,175140
Gardena,CA,33.8883,-118.309,59957
Garland,TX,32.9126,-96.6389,234566
Gary,IN,41.5934,-87.3464,78450
Gastonia,NC,35.2621,-81.1873,73209
Georgetown,TX,30.6333,-97.678,54898
Germantown,TN,35.0868,-89.8101,39375
Gilbert,AZ,33.3528,-111.789,229972
Gilroy,CA,37.0058,-121.5683,51701
Glendale,AZ,33.5387,-112.186,234632
Glendale,CA,34.1425,-118.2551,196021
